okres,radon_average,vyskyt,,,,,,
Benešov,2.573459526,57.7346152,,,,,,
Beroun,1.926794141,55.6737264,,,,,,
Blansko,1.659542371,42.5365012,,,,,,
Brno-město,1.257761118,58.3041549,,,,,,
Brno-venkov,1.418815645,45.9619054,,,,,,
Bruntál,1.812515224,60.4864244,,,,,,
Břeclav,1,57.2041843,,,,,,
Cheb,1.839731053,85.3890151,,,,,,
Chomutov,,86.9382883,,,,,,
Chrudim,1.499799764,53.5434642,,,,,,
Domažlice,,58.7025736,,,,,,
Děčín,,83.3174596,,,,,,
Frýdek-Místek,,56.0489338,,,,,,
Havlíčkův Brod,1.994406303,45.3290913,,,,,,
Hodonín,1,42.3267468,,,,,,
Hradec Králové,1,66.926706,,,,,,
Jablonec nad Nisou,2.685665094,75.8962058,,,,,,
Jeseník,2.055933016,81.993493,,,,,,
Jihlava,2.445723923,63.5254314,,,,,,
Jindřichův Hradec,1.963417988,68.5681423,,,,,,
Jičín,1.166399756,71.6193769,,,,,,
Karlovy Vary,2.147598237,75.7184046,,,,,,
Karviná,1,66.3103062,,,,,,
Kladno,1.260440964,78.6709578,,,,,,
Klatovy,,66.5001836,,,,,,
Kolín,1.455405237,76.9359096,,,,,,
Kroměříž,1,52.1139431,,,,,,
Kutná Hora,1.723004632,70.2159737,,,,,,
Liberec,2.487945339,75.0014621,,,,,,
Litoměřice,1.006296811,75.7247581,,,,,,
Louny,1.164392825,84.1793786,,,,,,
Mladá Boleslav,1.010643827,51.1271278,,,,,,
Most,1.116978082,98.0939181,,,,,,
Mělník,1.212022532,72.120661,,,,,,
Nový Jičín,,58.3179824,,,,,,
Nymburk,1,58.2138548,,,,,,
Náchod,1.484602456,69.4157236,,,,,,
Olomouc,1.288431068,57.2029708,,,,,,
Opava,1.229295028,58.3616419,,,,,,
Ostrava-město,1.253134389,71.0303789,,,,,,
Pardubice,1.062884569,61.1022428,,,,,,
Pelhřimov,2.067033976,57.4433544,,,,,,
Plzeň-jih,1.497002008,72.006359,,,,,,
Plzeň-město,1.823768506,66.8498848,,,,,,
Plzeň-sever,1.715295832,66.9549589,,,,,,
Prachatice,1.962815701,59.5343702,,,,,,
Praha,1.867812689,,,,,,,
Praha-východ,1.415162272,44.0523794,,,,,,
Praha-západ,1.349989437,51.1680188,,,,,,
Prostějov,1.225831625,49.6214748,,,,,,
Písek,2.203129466,79.0242612,,,,,,
Přerov,1.11981552,66.5082841,,,,,,
Příbram,,65.6043187,,,,,,
Rakovník,1.71778563,72.9776695,,,,,,
Rokycany,,65.5063848,,,,,,
Rychnov nad Kněžnou,1.047149985,,,,,,,
Semily,1.655007791,53.6238274,,,,,,ud�lat graf zbytkov�ch error�
Sokolov,1.888244609,77.6524812,,,,,,p�idat anal�zu ovzdu��
Strakonice,2.043089325,60.7037091,,,,,,
Svitavy,1.201250744,53.3078789,,,,,,
Tachov,1.868438194,81.4545237,,,,,,
Teplice,1.306906559,84.9863677,,,,,,
Trutnov,,64.4268559,,,,,,
Tábor,2.159222254,67.4876028,,,,,,
Třebíč,2.328018371,52.1961201,,,,,,
Uherské Hradiště,1.005565268,42.3260118,,,,,,
Vsetín,,46.3991589,,,,,,
Vyškov,1.068531743,53.7811173,,,,,,
Zlín,1,42.5101066,,,,,,
Znojmo,1.592826197,58.9700253,,,,,,
Ústí nad Labem,1.407633337,94.6118389,,,,,,
Ústí nad Orlicí,1.115397309,48.670567,,,,,,
Česká Lípa,1.055091936,78.5242113,,,,,,
České Budějovice,1.32763323,53.7521133,,,,,,
Český Krumlov,2.101007846,61.5928971,,,,,,
Šumperk,1.829035773,47.7252356,,,,,,
Žďár nad Sázavou,2.091270118,55.4821261,,,,,,
