kraj,radon_average,vyskyt,particulate_matter
Hlavní město Praha,1.8678126888133468,61.0502002,1.07018982463027
Jihomoravský kraj,1.2832797241033818,52.9620942,0.49070901491558233
Jihočeský kraj,1.8440311271957148,66.2370072,0.34659895703858706
Karlovarský kraj,1.973944033506681,79.7131682,0.5479620492624672
Kraj Vysočina,2.199961726343355,64.785912,0.44591290525473615
Královéhradecký kraj,1.317448635787353,73.6564055,0.6042964673607505
Liberecký kraj,2.061462878582365,75.8555764,0.4951200003183782
Moravskoslezský kraj,1.1800270942093514,66.5869842,0.980267389108646
Olomoucký kraj,1.3895368726803292,58.0566677,0.4737519227583654
Pardubický kraj,1.1722980290231753,60.2518296,0.662226887130621
Plzeňský kraj,1.8037143605300192,67.0602912,0.4322366840932932
Středočeský kraj,1.516721840491318,65.7710861,0.626879460958369
Zlínský kraj,1.0013547324314787,48.909406,0.5389220596522639
Ústecký kraj,1.2633271755624464,89.3317425,1.1388989796319149
