kod_cast,radon,populace,okres,kraj
192309,3.0,57.0,Benešov,Středočeský kraj
401161,3.0,6.0,Benešov,Středočeský kraj
401170,3.0,7.0,Benešov,Středočeský kraj
190136,3.0,30.0,Benešov,Středočeský kraj
401137,3.0,11.0,Benešov,Středočeský kraj
401145,3.0,6.0,Benešov,Středočeský kraj
196037,1.0,75.0,Beroun,Středočeský kraj
054402,2.0,1074.0,Beroun,Středočeský kraj
081884,2.0,130.0,Beroun,Středočeský kraj
050571,2.0,451.0,Beroun,Středočeský kraj
002305,3.0,54.0,Benešov,Středočeský kraj
049255,1.0,1238.0,Beroun,Středočeský kraj
017311,1.0,439.0,Beroun,Středočeský kraj
055441,1.0,1300.0,Beroun,Středočeský kraj
014605,1.0,338.0,Beroun,Středočeský kraj
401404,3.0,42.0,Benešov,Středočeský kraj
400939,3.0,1.0,Benešov,Středočeský kraj
190101,3.0,9.0,Benešov,Středočeský kraj
192325,3.0,52.0,Benešov,Středočeský kraj
190128,3.0,28.0,Benešov,Středočeský kraj
401153,3.0,0.0,Benešov,Středočeský kraj
402095,1.0,12755.0,Kolín,Středočeský kraj
402117,1.0,5218.0,Kolín,Středočeský kraj
402133,1.0,406.0,Kolín,Středočeský kraj
068241,1.0,787.0,Kolín,Středočeský kraj
042374,1.0,778.0,Kladno,Středočeský kraj
083135,1.0,69.0,Kladno,Středočeský kraj
116980,1.0,850.0,Kladno,Středočeský kraj
190454,1.0,179.0,Kladno,Středočeský kraj
190462,1.0,312.0,Kladno,Středočeský kraj
197556,1.0,80.0,Kladno,Středočeský kraj
078719,1.0,622.0,Kladno,Středočeský kraj
028304,1.0,285.0,Kladno,Středočeský kraj
179370,1.0,997.0,Kladno,Středočeský kraj
068250,1.0,81.0,Kolín,Středočeský kraj
159891,1.0,602.0,Kladno,Středočeský kraj
195014,1.0,783.0,Mladá Boleslav,Středočeský kraj
091979,3.0,272.0,Benešov,Středočeský kraj
401188,3.0,21.0,Benešov,Středočeský kraj
009539,1.0,1118.0,Kladno,Středočeský kraj
118354,1.0,201.0,Kladno,Středočeský kraj
094102,1.0,336.0,Kutná Hora,Středočeský kraj
146293,1.0,363.0,Kladno,Středočeský kraj
402109,2.0,3552.0,Kolín,Středočeský kraj
065161,2.0,2059.0,Kladno,Středočeský kraj
068055,2.0,38.0,Kladno,Středočeský kraj
068063,2.0,32.0,Kladno,Středočeský kraj
040223,2.0,150.0,Kladno,Středočeský kraj
162787,2.0,137.0,Kladno,Středočeský kraj
013820,2.0,175.0,Kladno,Středočeský kraj
197521,2.0,71.0,Kladno,Středočeský kraj
149535,2.0,467.0,Kladno,Středočeský kraj
192422,2.0,204.0,Beroun,Středočeský kraj
068047,2.0,514.0,Kladno,Středočeský kraj
019321,2.0,365.0,Kladno,Středočeský kraj
197548,1.0,86.0,Kladno,Středočeský kraj
300039,1.0,23.0,Kladno,Středočeský kraj
020648,1.0,137.0,Kladno,Středočeský kraj
132942,2.0,892.0,Beroun,Středočeský kraj
125989,2.0,1559.0,Kolín,Středočeský kraj
066648,2.0,597.0,Kolín,Středočeský kraj
020630,2.0,542.0,Kladno,Středočeský kraj
009288,2.0,1427.0,Kladno,Středočeský kraj
103357,2.0,292.0,Beroun,Středočeský kraj
182273,2.0,2811.0,Kladno,Středočeský kraj
003191,2.0,90.0,Kladno,Středočeský kraj
033057,2.0,42.0,Kladno,Středočeský kraj
045578,2.0,522.0,Kladno,Středočeský kraj
066796,2.0,280.0,Kladno,Středočeský kraj
033073,2.0,253.0,Kladno,Středočeský kraj
149501,2.0,110.0,Kladno,Středočeský kraj
168815,2.0,154.0,Kladno,Středočeský kraj
059161,2.0,166.0,Kladno,Středočeský kraj
196045,2.0,306.0,Beroun,Středočeský kraj
120545,2.0,788.0,Kladno,Středočeský kraj
071072,2.0,120.0,Beroun,Středočeský kraj
197513,1.0,133.0,Kladno,Středočeský kraj
004197,1.0,196.0,Kladno,Středočeský kraj
048887,1.0,2061.0,Kladno,Středočeský kraj
090522,1.0,575.0,Kladno,Středočeský kraj
009296,1.0,21.0,Kladno,Středočeský kraj
170534,1.0,441.0,Kladno,Středočeský kraj
195910,1.0,186.0,Kladno,Středočeský kraj
402061,1.0,1135.0,Kladno,Středočeský kraj
080926,1.0,675.0,Kladno,Středočeský kraj
048895,1.0,41.0,Kladno,Středočeský kraj
028509,1.0,412.0,Kladno,Středočeský kraj
088943,1.0,82.0,Kladno,Středočeský kraj
190446,1.0,112.0,Kladno,Středočeský kraj
055450,1.0,73.0,Beroun,Středočeský kraj
061671,1.0,1195.0,Kladno,Středočeský kraj
402036,1.0,717.0,Kladno,Středočeský kraj
171379,1.0,310.0,Kolín,Středočeský kraj
004120,1.0,122.0,Kutná Hora,Středočeský kraj
028681,1.0,129.0,Kladno,Středočeský kraj
033065,1.0,292.0,Kladno,Středočeský kraj
402079,1.0,13728.0,Kladno,Středočeský kraj
032514,1.0,190.0,Kladno,Středočeský kraj
047261,1.0,103.0,Kladno,Středočeský kraj
045926,1.0,1562.0,Kladno,Středočeský kraj
402001,1.0,34972.0,Kladno,Středočeský kraj
402010,1.0,2678.0,Kladno,Středočeský kraj
185566,1.0,624.0,Kladno,Středočeský kraj
178306,1.0,1853.0,Kladno,Středočeský kraj
402028,1.0,5038.0,Kladno,Středočeský kraj
018121,1.0,784.0,Kladno,Středočeský kraj
066800,2.0,243.0,Kladno,Středočeský kraj
160806,2.0,724.0,Kladno,Středočeský kraj
193330,2.0,1677.0,Kladno,Středočeský kraj
066443,2.0,107.0,Kladno,Středočeský kraj
192988,2.0,213.0,Kladno,Středočeský kraj
149519,2.0,27.0,Kladno,Středočeský kraj
159964,1.0,530.0,Beroun,Středočeský kraj
090557,1.0,267.0,Kladno,Středočeský kraj
121754,1.0,636.0,Kladno,Středočeský kraj
079618,2.0,585.0,Kladno,Středočeský kraj
